,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15144,12203244,13.16,30.78,0.53,4.104,0.044000000000000004,5230,159,2.415,0.011000000000000001,-0.28,0.3,4207.68,292.339,257.626,110.12568333542099
15145,12203455,10.0,30.78,0.81,4.058,0.069,5178,152,2.4130000000000003,0.013999999999999999,-0.14,0.3,743.085,14.142999999999999,13.661,56.44788970501022
15146,12203653,12.65,40.31,0.76,4.434,0.028999999999999998,4860,80,2.516,0.01,0.03,0.15,2488.775,159.077,141.457,55.71774082994872
15147,12204508,12.09,28.07,0.55,3.638,0.055999999999999994,4760,80,2.354,0.01,0.04,0.15,2055.2329999999997,99.514,90.976,67.50448648924791
15148,12204887,13.22,32.71,0.73,4.148,0.053,5192,161,2.44,0.013000000000000001,-0.44,0.3,3901.821,210.472,190.57,89.21860819825955
15149,12205702,13.14,35.4,0.48,4.1530000000000005,0.017,4539,80,2.445,0.008,-0.27,0.15,2597.9120000000003,90.49,84.829,40.30467251403696
15150,12206050,12.98,42.63,0.5,4.725,0.015,4748,80,2.535,0.008,-0.34,0.15,2589.686,128.08100000000002,116.883,43.87500195091183
15151,12206414,12.57,25.27,0.56,3.377,0.03,4530,80,2.298,0.011000000000000001,0.2,0.15,2391.73,176.94299999999998,154.596,63.571485455538564
15152,12206812,12.71,141.85,0.96,11.625,0.013999999999999999,4967,149,3.0669999999999997,0.008,0.17,0.3,1254.953,37.904,35.84,14.46002652608974
15153,12206828,12.31,33.31,0.58,4.0,0.027999999999999997,4713,80,2.427,0.009000000000000001,0.19,0.15,2132.235,122.32700000000001,110.035,56.27366338878423
15154,12207049,11.52,146.88,1.99,10.915,0.040999999999999995,5091,144,3.088,0.01,-0.38,0.3,1062.045,34.361,32.358000000000004,27.6263568974708
15155,12207086,12.66,33.68,0.73,4.141,0.037000000000000005,4857,80,2.438,0.011000000000000001,-0.12,0.15,2590.8779999999997,195.622,170.49099999999999,60.46823233579941
15156,12207566,13.67,58.11,0.48,6.17,0.016,4997,151,2.681,0.009000000000000001,-0.51,0.3,2833.117,190.465,168.41299999999998,31.25371546843374
15157,12207740,12.53,39.17,0.43,4.6419999999999995,0.017,4856,80,2.503,0.006999999999999999,-1.1,0.15,2160.527,126.205,113.315,42.29202323135021
15158,12207840,12.32,77.76,0.5,7.84,0.018000000000000002,5013,147,2.8080000000000003,0.008,-0.78,0.3,1370.184,45.117,42.44,23.173453306836198
15159,12207879,13.92,52.17,0.54,5.544,0.013999999999999999,4872,146,2.6289999999999996,0.009000000000000001,-0.46,0.3,2956.554,130.835,120.537,29.18700687857547
15160,12208173,13.93,144.91,0.86,12.177,0.021,5077,151,3.0810000000000004,0.008,-0.38,0.3,2317.025,85.359,79.714,16.297619857300262
15161,12208273,11.91,23.0,0.38,3.0269999999999997,0.02,4891,145,2.274,0.011000000000000001,-0.48,0.3,1711.9170000000001,59.428000000000004,55.722,61.109983691777046
15162,12208370,13.4,28.43,0.94,3.767,0.057,5056,156,2.373,0.016,-0.08,0.3,3838.575,211.606,191.196,78.90601400920612
15163,12208408,13.71,72.36,0.56,6.936,0.02,4819,146,2.7680000000000002,0.009000000000000001,0.05,0.3,2564.303,90.91,85.125,25.880448774113948
15164,12208564,13.67,33.76,0.46,3.9989999999999997,0.013000000000000001,4856,147,2.439,0.01,-0.16,0.3,3582.4829999999997,204.834,184.38400000000001,55.03020283139046
15165,12208809,10.02,45.28,0.97,4.381,0.046,4984,143,2.572,0.012,-0.48,0.3,844.321,18.16,17.459,72.32544324413972
15166,12214399,13.63,48.77,0.38,5.416,0.017,5099,156,2.609,0.009000000000000001,-0.55,0.3,3055.763,146.00799999999998,133.651,38.23343678697857
15167,12215012,13.97,38.0,0.76,4.168,0.027999999999999997,4923,150,2.4930000000000003,0.012,0.01,0.3,4672.709,415.894,354.827,72.15374093198291
15168,12215023,13.84,29.14,0.72,3.762,0.083,4934,150,2.378,0.013000000000000001,-0.02,0.3,3933.548,225.813,203.208,56.23068055480036
15169,12215063,13.19,26.57,0.46,3.443,0.038,4715,80,2.3280000000000003,0.009000000000000001,0.0,0.15,3456.635,190.4,172.02700000000002,64.70882693255759
15170,12215354,13.57,23.76,0.77,3.458,0.045,4993,158,2.292,0.016,-1.16,0.3,3190.034,166.044,150.832,42.605029936667
15171,12215411,13.93,32.73,0.69,3.95,0.04,4962,154,2.43,0.012,-0.07,0.3,4591.845,358.769,311.60200000000003,71.84259789850228
15172,12215568,12.97,70.19,0.44,6.947,0.012,4721,80,2.7510000000000003,0.006,-0.3,0.15,2118.839,91.78200000000001,84.696,29.15322336138224
15173,12215647,10.59,49.64,0.7,4.9639999999999995,0.011000000000000001,4942,100,2.61,0.009000000000000001,0.12,0.15,880.6080000000001,19.453,18.68,51.01538040965675
15174,12215898,12.49,38.46,0.52,4.455,0.013000000000000001,4579,80,2.483,0.008,-0.48,0.15,1897.8220000000001,95.131,86.70299999999999,34.24093152386027
15175,12216301,13.27,173.69,1.42,15.050999999999998,0.047,5636,189,3.1830000000000003,0.009000000000000001,-1.35,0.3,1614.1689999999999,31.000999999999998,29.934,14.364052340635334
15176,12216433,13.99,108.63,0.75,9.525,0.017,4937,153,2.95,0.009000000000000001,0.14,0.3,2505.629,98.756,91.79,19.433073842412128
